idiom,lang,meaning,noun_translation
取らずの大関,jp,,['Ozeki']
虎に翼,jp,,"['to the tiger', 'wings']"
虎になる,jp,,[]
捕らぬ狸の皮算用,jp,,"['raccoon dog', 'calculation', 'for']"
虎の威を藉る狐,jp,,"['Might of the Tiger', 'fox']"
虎の威を借る狐,jp,,"['Might of the Tiger', 'fox']"
虎の尾を踏む,jp,,['tiger tail']
虎の子,jp,,['tiger cub']
虎の子渡し,jp,,['tiger cub delivery']
虎の巻,jp,,"['tiger&#39;s', 'roll']"
虎は死して皮を留め、人は死して名を残す,jp,,"['tiger', 'leather', 'Man', 'Name']"
虎は千里行って千里帰る,jp,,['tiger']
虎は千里往って千里還る,jp,,['tiger']
虎は千里の藪に栖む,jp,,['bush']
虎を描いて狗に類す,jp,,"['tiger', 'dog']"
虎を描いて猫に類す,jp,,"['tiger', 'Cat']"
虎を画きて狗に類す,jp,,"['tiger', 'dog']"
虎を野に放つ,jp,,"['tiger', 'field']"
鳥疲れて枝を選ばず,jp,,['branch']
取り付く島がない,jp,,['island']
とりつく島もない,jp,,['island']
取り付く島もない,jp,,['island']
取り留めがない,jp,,['detention']
取り止めがない,jp,,['cancellation']
鳥なき里の蝙蝠,jp,,"['Sato', 'bat', 'Bat']"
鳥の将に死なんとする、その鳴くや哀し,jp,,"['bird', 'General', 'death', 'sorrow']"
鳥肌が立つ,jp,,['goosebumps']
取りも直さず,jp,,['take']
屠竜の技,jp,,['skill']
取るに足らない,jp,,[]
取るに足りない,jp,,[]
取る物も取り敢えず,jp,,['thing to take']
取るより庇え,jp,,['cover']
取ろう取ろうで取られる,jp,,[]
豚児,jp,,"['Pig', 'child']"
飛んで火に入る夏の虫,jp,,"['fire', 'summer', 'insect']"
鳶が孔雀を生む,jp,,"['kite', 'peacock']"
鳶が鷹を生む,jp,,"['kite', 'hawk']"
鳶に油揚げを攫われる,jp,,"['kite', 'fried tofu']"
ないが意見の総じまい,jp,,"['opinion', 'Closing']"
ないが極楽、知らぬが仏,jp,,"['paradise', 'Buddha']"
ない子では泣かれぬ,jp,,['Child']
内助の功,jp,,"['internal assistance', 'success']"
無い袖は振れない,jp,,['sleeve']
無い袖は振れぬ,jp,,['sleeve']
無い知恵を絞る,jp,,['wisdom']
泣いて暮らすも一生、笑って暮らすも一生,jp,,['lifetime']
泣いて馬謖を斬る,jp,,['maju']
泣いても笑っても,jp,,[]
ない時の辛抱、ある時の倹約,jp,,"['Time', 'patience', 'Time', 'thrifty', 'about']"
ない名は呼ばれず,jp,,['Name']
ない物食おう,jp,,['food']
無い物ねだり,jp,,['nothing']
直き木に曲がる枝,jp,,"['straight tree', 'branch']"
鳴かず飛ばず,jp,,[]
仲に立つ,jp,,['relationship']
中に立つ,jp,,['During ~']
仲に入る,jp,,['relationship']
中に入る,jp,,['During ~']
鳴かぬなら鳴くまで待とう時鳥,jp,,"['Time', 'bird']"
鳴かぬ蛍が身を焦がす,jp,,"['firefly', 'Body']"
仲を裂く,jp,,['relationship']
仲を取り持つ,jp,,['relationship']
長い浮き世に短い命,jp,,"['world', 'life']"
長生きは恥多し,jp,,"['long life', 'embarrassed']"
長居は恐れ,jp,,"['staying long', 'fear']"
長居は無用,jp,,"['staying long', 'Nothing', 'for']"
長い目で見る,jp,,['eye']
長い物には巻かれろ,jp,,[]
名が売れる,jp,,['Name']
長追いは無益,jp,,"['long chase', 'futility']"
長口上は欠伸の種,jp,,"['long mouth', 'Up', 'seed']"
長崎ばってん、江戸べらぼう、神戸兵庫のなんぞいや,jp,,"['obnoxious', 'How many']"
流し目を送る,jp,,['eye']
長尻,jp,,[]
名が高い,jp,,['Name']
名が立つ,jp,,['Name']
長っ尻,jp,,[]
名が通る,jp,,['Name']
名が泣く,jp,,['Name']
流れに棹さす,jp,,['flow']
流れに棹差す,jp,,"['flow', 'rod']"
流れに枕し石に漱ぐ,jp,,"['flow', 'stone']"
流れる水は腐らず,jp,,['water']
流れを汲みて源を知る,jp,,"['flow', 'source']"
流れを汲む,jp,,['flow']
亡き数に入る,jp,,['number of deaths']
亡き数に入る,jp,,['number of deaths']
泣き出しそう,jp,,[]
泣き出しそうな,jp,,[]
泣き出しそうな空模様,jp,,"['empty model', 'Yo']"
泣きっ面に蜂,jp,,['bee']
泣きっ面を蜂が刺す,jp,,['bee']
泣き面に蜂,jp,,"['crying', 'surface', 'bee']"
無きにしも非ず,jp,,"['none', 'non']"
泣きの涙,jp,,"['crying', 'tears']"
泣きの涙で,jp,,"['crying', 'tears']"
泣きべそをかく,jp,,['crying']
泣き目を見る,jp,,['crying eyes']
亡き者にする,jp,,"['do not have', 'person']"
無き者にする,jp,,['no one']
泣きを入れる,jp,,['crying']
泣きを見せる,jp,,['crying']
泣きを見る,jp,,['crying']
泣く口は物食う,jp,,['mouth']
泣く子と地頭には勝てぬ,jp,,['Jito']
泣く子に乳,jp,,"['Child', 'milk']"
泣く子は育つ,jp,,['Child']
泣く子も黙る,jp,,[]
無くて七癖,jp,,['habit']
無くて七癖、有って四十八癖,jp,,"['seven habits', 'habit']"
泣く泣くもよい方を取る形見分け,jp,,"['cry', 'direction', 'Keepsake']"
泣くに泣けない,jp,,['cry']
鳴く猫は鼠を捕らぬ,jp,,"['Cat', 'mouse']"
泣くほど留めても帰れば喜ぶ,jp,,[]
鳴くまで待とう時鳥,jp,,"['Time', 'bird']"
鳴く虫は捕らえられる,jp,,['insect']
なけなしの無駄遣い,jp,,"['none', 'wasteful']"
仲人口は半分に聞け,jp,,"['relationship', 'population', 'half', 'can hear']"
仲人は宵のうち,jp,,"['matchmaker', 'evening', 'home']"
仲人は宵の口,jp,,"['matchmaker', 'evening', 'mouth']"
仲人は宵の程,jp,,"['matchmaker', 'evening']"
情けが仇,jp,,"['Compassion', 'enemy']"
情けに刃向かう刃なし,jp,,"['Compassion', 'blade', 'none']"
情けは質に置かれず,jp,,"['Compassion', 'quality']"
情けは人の為ならず,jp,,"['Compassion', 'Man', 'for']"
情け容赦もない,jp,,"['Compassion', 'pardon']"
情け容赦もなく,jp,,"['Compassion', 'pardon']"
情けを掛ける,jp,,['Compassion']
情けを知る,jp,,['Compassion']
生さぬ仲,jp,,['relationship']
梨の礫,jp,,"['pear&#39;s', 'gravel']"
茄子の花と親の意見は千に一つも無駄はない,jp,,"['eggplant', 'flower', 'parent', 'opinion', 'one', 'Useless']"
為すようにならないで、なるようになる,jp,,[]
為せば成る,jp,,[]
謎を掛ける,jp,,['mystery']
鉈を貸して山を伐られる,jp,,"['machete', 'Mountain']"
鉈を振るう,jp,,['machete']
名高の骨高,jp,,"['Nadaka', 'Bone', 'high']"
雪崩を打つ,jp,,['avalanche']
納所から和尚,jp,,"['storage', 'priest']"
夏歌うものは冬泣く,jp,,"['thing', 'cry in winter']"
夏の風邪は犬も食わぬ,jp,,"['summer', 'cold', 'dog']"
夏の小袖,jp,,"['summer', 'small', 'sleeve']"
夏の虫、氷を笑う,jp,,"['summer', 'insect', 'ice']"
夏は日向を行け、冬は日陰を行け,jp,,"['summer', 'winter', 'shade']"
七重の膝を八重に折る,jp,,"['knees', 'Yae']"
七転び八起き,jp,,"['seven falls', 'Get up']"
七下がり七上がり,jp,,"['Seven steps down', 'seven rise']"
七度尋ねて人を疑え,jp,,"['Every time', 'Man']"
七つ下がりの雨と四十過ぎての道楽はやまぬ,jp,,"['one', 'go down', 'rain', 'hobby', 'mountain']"
七つ道具,jp,,"['one', 'tool']"
七つ七里憎まれる,jp,,['one']
七尋の島に八尋の船を隠す,jp,,"['island', 'ship']"
斜めならず,jp,,['diagonal']
何かと言うと,jp,,[]
何かと言えば,jp,,[]
何かにつけ,jp,,[]
何かにつけて,jp,,[]
何から何まで,jp,,[]
某より金貸し,jp,,['certain']
何が何でも,jp,,[]
何くれとなく,jp,,[]
何食わぬ顔,jp,,['face']
何事も三度,jp,,"['what', 'Every time']"
名にし負う,jp,,['Name']
何するものぞ,jp,,['thing']
名に背く,jp,,['Name']
何はさておき,jp,,['set aside']
名に恥じない,jp,,['Name']
何はともあれ,jp,,['friend']
何はなくとも,jp,,[]
何分にも,jp,,['how many minutes']
何もせずにいることは悪を為していることなり,jp,,"['thing', 'evil', 'thing']"
何や彼や,jp,,[]
難波の葦は伊勢の浜荻,jp,,['reed']
何をか言わんや,jp,,[]
何を隠そう,jp,,[]
七日通る漆も手に取らねばかぶれぬ,jp,,"['Day', 'lacquer', 'hand']"
名主の跡は芋畑,jp,,"['village headman', 'Trace', 'potato', 'field']"
名のない星は宵から出る,jp,,"['Name', 'Star', 'evening']"
斜めならず,jp,,['diagonal']
名乗りを上げる,jp,,['claim']
名告を上げる,jp,,['famous announcement']
名は実の賓,jp,,"['Name', 'real', 'Guest']"
名は体を表す,jp,,"['Name', 'body']"
鍋の鋳掛けが釣り鐘を請け合ったよう,jp,,"['pot', 'casting', 'hanging bell']"
ナポリを見てから死ね,jp,,['death']
生木を裂く,jp,,['living tree']
怠け者の節句働き,jp,,"['laziness', 'person', 'Festival', 'work']"
生唾を飲み込む,jp,,['saliva']
生の声,jp,,"['Raw', 'voice']"
生兵法は大疵の基,jp,,"['live soldier', 'law', 'group']"
生兵法は大怪我の基,jp,,"['live soldier', 'law', 'Big', 'injury', 'group']"
生身を削る,jp,,['flesh and blood']
生酔い、本性違わず,jp,,"['drunk', 'nature']"
訛は国の手形,jp,,"['accent', 'Country', 'hand', 'shape']"
波風が絶えない,jp,,['wind and waves']
波風が立つ,jp,,['wind and waves']
涙に暮れる,jp,,['tears']
涙に沈む,jp,,['tears']
涙に咽ぶ,jp,,['tears']
涙を誘う,jp,,['tears']
涙を呑む,jp,,['tears']
涙を吞む,jp,,['tears']
涙を振るう,jp,,['tears']
涙を振るって,jp,,['tears']
涙を揮って馬謖を斬る,jp,,"['tears', 'maju']"
波に千鳥,jp,,"['wave', 'Chidori']"
波に乗る,jp,,['wave']
蛞蝓に塩,jp,,['salt']
嘗めてかかる,jp,,[]
名も無い,jp,,['Name']
習い、性と成る,jp,,['sex']
習い性となる,jp,,"['lesson', 'sex']"
習うは一生,jp,,['lifetime']
習うより慣れよ,jp,,[]
習うより慣れろ,jp,,[]
奈落の底,jp,,"['abyss', 'bottom']"
成らずば誹れ,jp,,[]
成らぬうちが頼み,jp,,"['home', 'reliance']"
ならぬ堪忍、するが堪忍,jp,,"['endurance', 'endurance']"
並ぶ者がない,jp,,['person']
習わぬ経は読めぬ,jp,,[]
鳴り物入り,jp,,['with much fanfare']
生業は草の種,jp,,"['Livelihood', 'Grassy', 'seed']"
鳴りを静める,jp,,['Ringing']
鳴りを潜める,jp,,['Ringing']
生る木は花から違う,jp,,['flower']
成るは厭なり、思うは成らず,jp,,[]
成るも成らぬも金次第,jp,,"['Money', 'Next', 'No.']"
成れの果て,jp,,"['Become', 'end']"
縄に掛かる,jp,,['rope']
縄目に掛かる,jp,,['rope']
縄目の恥,jp,,"['rope', 'shame']"
縄目の恥を受ける,jp,,"['rope', 'shame']"
縄を打つ,jp,,['rope']
名を上げる,jp,,['Name']
名を揚げる,jp,,['Name']
名を著す,jp,,['Name']
名を売る,jp,,['Name']
名を得る,jp,,['Name']
名を惜しむ,jp,,['Name']
名を折る,jp,,['Name']
名を借りる,jp,,['Name']
名を腐す,jp,,['Name']
名を汚す,jp,,['Name']
名を捨てて実を取る,jp,,"['Name', 'fruit']"
名を竹帛に垂る,jp,,"['Name', 'bamboo cloth', 'drip']"
名を連ねる,jp,,['Name']
名を遂げる,jp,,['Name']
名を留める,jp,,['Name']
名を取る,jp,,['Name']
名を取るより得を取れ,jp,,"['Name', 'get']"
名を成す,jp,,['Name']
名を残す,jp,,['Name']
名を辱める,jp,,['Name']
名を馳せる,jp,,['Name']
名を広める,jp,,['Name']
南柯の夢,jp,,['dreams']
難癖を付ける,jp,,['bad habit']
難産、色に懲りず,jp,,"['difficult birth', 'colour']"
南山の寿,jp,,['Kotobuki']
難色を示す,jp,,['reluctance']
汝自身を知れ,jp,,"['thou', 'yourself']"
爾に出ずるものは爾に返る,jp,,"['thing', 'so']"
汝の敵を愛せよ,jp,,['enemy']
汝の隣人を愛せよ,jp,,"['thou', 'neighbor']"
何でも来い,jp,,[]
何でも来いに名人なし,jp,,"['master', 'none']"
何としても,jp,,[]
なんなら茶漬け,jp,,['Chazuke']
何の気なしに,jp,,['no mind']
何の事は無い,jp,,['case']
何のその,jp,,[]
なんの糸瓜の皮,jp,,"['loofah', 'leather']"
南風競わず,jp,,['South wind']
難を付ける,jp,,['difficulty']
似合い似合いの釜の蓋,jp,,"['suits', 'of the cauldron', 'lid']"
似合わぬ僧の腕立て,jp,,"['monk', 'push up']"
煮え切らない,jp,,[]
煮え湯を飲まされる,jp,,['boiling water']
匂い松茸、味しめじ,jp,,"['odor', 'Matsutake', 'Shimeji mushrooms']"
仁王立ち,jp,,"['Nio', 'stand']"
二王立ち,jp,,"['king', 'stand']"
鳰の浮き巣,jp,,"['nio&#39;s', 'floating nest']"
二階から目薬,jp,,"['floor', 'eye', 'medicine']"
荷が重い,jp,,['load']
荷が下りる,jp,,['load']
荷が勝つ,jp,,"['load', 'win', 'one']"
逃がした魚は大きい,jp,,['fish']
二月は逃げて走る,jp,,['Moon']
苦虫を噛み潰したよう,jp,,['bitterness']
握れば拳、開けば掌,jp,,"['fist', 'palm']"
憎い憎いはかわいいの裏,jp,,"['hateful', 'back']"
肉が落ちる,jp,,['meat']
憎さも憎し,jp,,['hate']
肉付けをする,jp,,['meat']
憎まれ口をきく,jp,,['mouth']
憎まれ口を叩く,jp,,['mouth']
憎まれっ子、世に憚る,jp,,['world']
肉を斬らせて骨を斬る,jp,,"['meat', 'Bone']"
肉を付ける,jp,,['meat']
逃ぐるが一の手,jp,,['hand']
逃げ腰になる,jp,,['waist']
逃げも隠れもしない,jp,,['hide']
逃げるが勝ち,jp,,['win']
逃げを打つ,jp,,['run away']
逃げを張る,jp,,['run away']
西風と夫婦喧嘩は夕限り,jp,,"['west wind', 'couple', 'fight', 'only in the evening']"
西から日が出る,jp,,"['West', 'Day']"
錦着ての奉公より襤褸着ての我が世,jp,,"['service', 'world']"
錦の袋に糞を包む,jp,,"['bag', 'shit']"
錦の御旗,jp,,"['control', 'flag']"
錦は雑巾にならぬ,jp,,"['Nishiki', 'dust cloth']"
錦を飾る,jp,,['Nishiki']
錦を衣て夜行くが如し,jp,,['Nishiki']
西と言えば東と言う,jp,,"['West', 'east']"
西と言ったら東と悟れ,jp,,"['West', 'east', 'be enlightened']"
西の海へさらり,jp,,"['West', 'Sea']"
西も東も分からない,jp,,"['West', 'east']"
二豎,jp,,['leopard']
二十五菩薩もそれぞれの役,jp,,"['Bodhisattva', 'Respectively', 'role']"
二世の契り,jp,,"['world', 'promise']"
二世の契りを結ぶ,jp,,"['world', 'promise']"
二世を契る,jp,,['world']
二足の草鞋を履く,jp,,"['bipedal', 'straw sandals']"
二鼠藤を嚙む,jp,,[]
似たものは烏,jp,,"['thing', 'crow']"
似た者夫婦,jp,,"['husband', 'wife']"
似たり寄ったり,jp,,[]
日日是好日,jp,,"['Appropriate', 'Day']"
日計足らずして歳計余りあり,jp,,"['daily total', 'yearly budget', 'can be']"
日光を見ずして結構と言うな,jp,,[]
二進も三進も行かない,jp,,"['binary', 'Sanshin']"
二八の涙月,jp,,"['tears', 'Moon']"
煮て食おうと焼いて食おうと,jp,,[]
似て非なり,jp,,['non']
似て非なる,jp,,['non']
似て非なるもの,jp,,[]
似てもつかない,jp,,[]
似ても似つかない,jp,,[]
似ても似つかぬ,jp,,[]
煮ても焼いても食えない,jp,,[]
煮ても焼いても食えぬ,jp,,[]
二兎を追う者は一兎をも得ず,jp,,"['rabbit', 'person', 'one rabbit']"
二度あることは三度ある,jp,,"['Every time', 'thing', 'Every time']"
二度教えて一度叱れ,jp,,['Every time']
二度聞いて一度物言え,jp,,"['Every time', 'Every time', 'object']"
二度目の見直し三度目の正直,jp,,"['Every time', 'eye', 'look over', 'Every time', 'eye', 'honest']"
担えば棒が折れる,jp,,['rod']
二人口は過ごせるが一人口は過ごせぬ,jp,,"['population', 'population']"
二の足を踏む,jp,,['leg']
二の句が継げない,jp,,['clause']
二の次にする,jp,,['Next']
二の舞,jp,,['dance']
二の舞を演じる,jp,,['dance']
二の矢が継げない,jp,,['arrow']
二の矢が継げぬ,jp,,['arrow']
二八余りは人の瀬越し,jp,,"['remainder', 'Man', 'Segoshi']"
二八月は船頭のあぐみ時,jp,,"['August', 'boatman', 'Agumi', 'Time']"
二番煎じ,jp,,"['turn', 'decoction']"
二百二十日の荒れ仕舞,jp,,"['Day', 'stormy end']"
鰾膠もない,jp,,['seaweed']
にべもない,jp,,[]
二枚舌を使う,jp,,"['Sheet', 'tongue']"
似もつかぬ,jp,,['one']
入木道,jp,,['road']
女房、鉄砲、仏法,jp,,"['wife', 'gun', 'Buddhism']"
女房と畳は新しいほうがよい,jp,,"['wife', 'tatami', 'law']"
女房と味噌は古いほどよい,jp,,"['wife', 'miso']"
女房に惚れてお家繁盛,jp,,"['wife', 'oh', 'House', 'thriving']"
女房の妬くほど亭主もてもせず,jp,,"['wife', 'envy', 'husband']"
女房の悪いは六十年の不作,jp,,"['wife', 'Year', 'bad harvest']"
女房は貸すとも擂り粉木は貸すな,jp,,"['wife', 'Grinding', 'powder', 'wood']"
女房は灰小屋から貰え,jp,,"['wife', 'Ash', 'hut']"
女房は半身上,jp,,"['wife', 'half body', 'Up']"
女房は山の神百国の位,jp,,"['wife', 'Mountain', 'one hundred gods', 'Country', 'rank']"
女房百日、馬二十日,jp,,"['wife', 'Day', 'Horse', 'Day']"
睨みが利く,jp,,['glare']
睨みを利かせる,jp,,['glare']
似るを友,jp,,['friend']
俄雨と女の腕捲り,jp,,"['rain shower', 'woman', 'arm', 'Maki']"
鶏を割くに焉んぞ牛刀を用いん,jp,,"['chicken', 'Gyuto']"
荷を下ろす,jp,,['load']
任重くして道遠し,jp,,['far away']
人間至る処、青山あり,jp,,"['human', 'place', 'can be']"
人間一生二万日,jp,,"['human', 'lifetime', 'Day']"
人間は考える葦である,jp,,"['human', 'reed']"
人間は万物の尺度,jp,,"['human', 'all things', 'shaku', 'Every time']"
人間は実が入れば仰向く、菩薩は実が入れば俯く,jp,,"['human', 'Bodhisattva']"
人間万事金の世の中,jp,,"['human', 'case', 'Money', 'of the world', 'During ~']"
人間万事塞翁が馬,jp,,"['human', 'clash', 'old man', 'Horse']"
人間僅か五十年,jp,,"['human', 'Year']"
人参飲んで首縊る,jp,,['carrot']
人相見の我が身知らず,jp,,"['Man', 'Aimi', 'and others']"
忍の一字は衆妙の門,jp,,"['One character', 'gate']"
人を見て法を説け,jp,,"['Man', 'law']"
糠に釘,jp,,"['rice bran', 'nail']"
抜かぬ太刀の高名,jp,,"['long sword', 'fame']"
糠味噌が腐る,jp,,['Rice bran miso']
糠喜び,jp,,"['rice bran', 'joy']"
抜き足差し足,jp,,"['gap', 'leg']"
抜き足差し足忍び足,jp,,"['gap', 'foot stealth', 'leg']"
抜き足して来るひとに碌な者なし,jp,,"['person', 'none']"
抜き足すれば道付く,jp,,[]
抜き差しならない,jp,,[]
抜きつ抜かれつ,jp,,['one']
抜け駆けの功名,jp,,"['Escape', 'achievement']"
抜け目がない,jp,,['eye']
抜けるよう,jp,,[]
盗人猛猛しい,jp,,['thief']
盗人猛々しい,jp,,['thief']
盗人が盗人に盗まれる,jp,,"['thief', 'thief']"
盗人と言えば手を出す,jp,,"['thief', 'hand']"
盗人に追い銭,jp,,"['thief', 'money']"
盗人に鍵を預ける,jp,,"['thief', 'key']"
盗人にも三分の理,jp,,"['thief', 'Reason']"
盗人にも仁義,jp,,"['thief', 'Justice']"
盗人の上米を取る,jp,,"['thief', 'high quality rice']"
盗人の逆恨み,jp,,"['thief', 'reverse', 'resentment']"
盗人の提灯持ち,jp,,"['thief', 'paper lantern', 'holding']"
盗人の取り残しはあれど火の取り残しはなし,jp,,"['thief', 'leftover', 'fire', 'leftover', 'none']"
盗人の寝言,jp,,"['thief', 'sleeping talk']"
盗人の隙はあれど守り手の隙はなし,jp,,"['thief', 'Gap', 'degree', 'hand', 'Gap', 'none']"
盗人の昼寝,jp,,"['thief', 'noon', 'sleepy']"
盗人も戸締り,jp,,"['thief', 'lock the door']"
盗人を捕らえて縄を綯う,jp,,"['thief', 'rope']"
盗人を捕らえて見れば我が子なり,jp,,"['thief', 'Child', 'Nari']"
盗人を見て縄を綯う,jp,,"['thief', 'rope']"
盗みする子は憎からで縄掛くる人が恨めしい,jp,,"['Child', 'hate', 'Man']"
塗り箸で芋を盛る,jp,,"['chopstick', 'potato']"
塗り箸で素麺を食う,jp,,"['lacquered chopsticks', 'somen noodles']"
ぬるま湯に浸かる,jp,,['hot water']
濡れ紙を剝がすよう,jp,,['paper']
濡れ衣を着せられる,jp,,['clothes']
濡れ衣を着せる,jp,,['clothes']
濡れ衣を着る,jp,,['clothes']
濡れ手で粟,jp,,"['hand', 'millet']"
濡れぬ先こそ露をも厭え,jp,,"['ahead', 'dew']"
濡れぬ先の傘,jp,,"['Destination', 'umbrella']"
根浅ければ則ち末短く、本傷るれば則ち枝枯る,jp,,"['rule', 'end']"
寝息を窺う,jp,,['sleeping']
寧日がない,jp,,['Ningichi']
願うに幸い,jp,,[]
寝返りを打つ,jp,,['tossing and turning']
願ったり叶ったり,jp,,[]
願ってもない,jp,,[]
根がなくても花は咲く,jp,,"['root', 'flower']"
根が生えたよう,jp,,['root']
根が生える,jp,,['root']
値が張る,jp,,['value']
根が深い,jp,,['root']
寝首を掻く,jp,,['sleeping neck']
寝首を搔く,jp,,['sleeping neck']
猫被り,jp,,"['Cat', 'suffer']"
猫が肥えれば鰹節が痩せる,jp,,"['Cat', 'Bonito']"
猫が糞を踏む,jp,,"['Cat', 'shit']"
猫でない証拠に竹を描いておき,jp,,"['Cat', 'evidence', 'bamboo']"
猫に鰹節,jp,,"['Cat', 'Bonito']"
猫に小判,jp,,"['Cat', 'oval']"
猫に木天蓼,jp,,"['Cat', 'wood', 'knotweed']"
猫にもなれば虎にもなる,jp,,"['Cat', 'Tiger']"
猫の魚辞退,jp,,"['Cat', 'fish', 'decline']"
猫の首に鈴,jp,,"['Cat', 'neck', 'bell']"
猫の首に鈴をつける,jp,,"['Cat', 'neck', 'bell']"
猫の子一匹いない,jp,,"['Cat', 'horse']"
猫の手も借りたい,jp,,"['Cat', 'hand']"
猫の額,jp,,"['Cat', 'amount']"
猫の額にある物を鼠が窺う,jp,,"['Cat', 'amount', 'object', 'mouse']"
猫の前の鼠,jp,,"['Cat', 'previous', 'mouse']"
猫の目のよう,jp,,"['Cat', 'eye', 'Yo']"
猫は三年の恩を三日で忘れる,jp,,"['Cat', 'Year', 'favor', 'Day']"
猫は虎の心を知らず,jp,,"['Cat', 'tiger&#39;s', 'heart']"
猫糞,jp,,['Cat']
猫も杓子も,jp,,['Cat']
猫も跨いで通る,jp,,['Cat']
猫を追うより皿を引け,jp,,"['Cat', 'plate']"
猫を被る,jp,,['Cat']
猫を殺せば七代祟る,jp,,"['Cat', 'teenager']"
寝覚めが悪い,jp,,['waking up']
螺子が緩む,jp,,['screw']
螺子が弛む,jp,,['screw']
螺子を巻く,jp,,['screw']
鼠壁を忘る壁鼠を忘れず,jp,,"['mouse wall', 'wall mouse']"
鼠が塩を引く,jp,,"['mouse', 'salt']"
鼠捕る猫は爪を隠す,jp,,"['Cat', 'nail']"
ねたが上がる,jp,,['sleepy']
ねたが挙がる,jp,,[]
ねたが割れる,jp,,['sleepy']
寝た子を起こす,jp,,['octopus']
寝刃を合わせる,jp,,['sleeping blade']
寝た間は仏,jp,,"['while', 'Buddha']"
根絶やしにする,jp,,['exterminate']
熱気を帯びる,jp,,['hot air']
熱し易いものは冷め易い,jp,,['thing']
熱し易きは冷め易し,jp,,"['Easy', 'easy to cool']"
熱しやすく冷めやすい,jp,,[]
熱が冷める,jp,,['heat']
熱が無い,jp,,['heat']
熱が入る,jp,,['heat']
熱が引く,jp,,['heat']
熱に浮かされる,jp,,['heat']
熱を上げる,jp,,['heat']
熱を入れる,jp,,['heat']
熱を執りて濯わず,jp,,['heat']
熱を吐く,jp,,['heat']
熱を吹く,jp,,['heat']
寝ていて転んだ例なし,jp,,"['example', 'none']"
寝ていて人を起こすな,jp,,['Man']
寝ても覚めても,jp,,[]
寝鳥を刺す,jp,,['sleeping bird']
寝鳥を刺す,jp,,['sleeping bird']
子に臥し寅に起きる,jp,,['Child']
根に持つ,jp,,['root']
根葉に持つ,jp,,['root leaf']
根太は敵に押させよ,jp,,"['Joist', 'enemy']"
根掘り葉掘り,jp,,"['root digging', 'leaf', 'digging']"
根回しをする,jp,,['Nemawashi']
寝耳に水,jp,,"['ear', 'water']"
眠い煙い寒い,jp,,['smoky']
眠れる獅子,jp,,['lion']
根も葉もない,jp,,"['root', 'leaf']"
狙いを定める,jp,,['the aim']
狙いをつける,jp,,['the aim']
寝る子は賢い親助け,jp,,"['sleeping child', 'parental assistance']"
寝る子は育つ,jp,,['sleeping child']
寝るほど楽はない,jp,,['easy']
寝る間が極楽,jp,,"['while', 'paradise']"
音を上げる,jp,,['sound']
根を下ろす,jp,,['root']
根を断ちて葉を枯らす,jp,,"['root', 'leaf']"
根を断つ,jp,,['root']
根を絶つ,jp,,['root']
年貢の納め時,jp,,"['annual tribute', 'Pay', 'Time']"
念者の不念,jp,,['remembrance']
念頭に置く,jp,,['mind']
念には念を入れよ,jp,,"['just in case', 'just in case']"
年年歳歳花相似たり、歳歳年年人同じからず,jp,,"['year year', 'years old', 'flower', 'similarity', 'years old', 'year year', 'Man']"
年々歳々花相似たり、歳々年々人同じからず,jp,,"['year after year', 'year by year', 'flower', 'similarity', 'Man']"
念力岩をも徹す,jp,,"['telekinesis', 'rock']"
念を押す,jp,,['just in case']
能ある鷹は爪を隠す,jp,,"['competent', 'hawk', 'nail']"
能書きの読めぬ所に効き目あり,jp,,"['place', 'eye', 'can be']"
能書きを垂れる,jp,,['writing']
能書きを並べる,jp,,['writing']
能書筆を択ばず,jp,,"['letter', 'writing brush']"
能事畢る,jp,,['work']
嚢中の錐,jp,,"['sac', 'During ~', 'cone']"
嚢中の物を探るが如し,jp,,"['sac', 'During ~', 'object']"
能なし犬は昼吠える,jp,,"['incompetent', 'dog']"
能なしの口叩き,jp,,"['incompetent', 'smack']"
農は人真似,jp,,"['agriculture', 'human truth', 'Similar']"
脳味噌を絞る,jp,,"['brain', 'miso']"
脳裏に焼き付く,jp,,"['brain', 'back']"
軒を争う,jp,,['Eaves']
軒を貸して母屋を取られる,jp,,"['Eaves', 'Main house']"
軒を連ねる,jp,,['Eaves']
軒を並べる,jp,,['Eaves']
除けて通せ酒の酔い,jp,,"['Liquor', 'drunkenness']"
のけば他人,jp,,"['other', 'Man']"
退けば長者が二人,jp,,"['millionaire', 'Man']"
残り物には福がある,jp,,"['leftovers', 'fortune']"
熨斗を付ける,jp,,['Noshi']
後の親が親,jp,,"['rear', 'parent', 'parent']"
退っ引きならない,jp,,['withdrawal']
喉から手が出る,jp,,"['throat', 'hand']"
喉元過ぎれば熱さを忘れる,jp,,"['throat', 'Yuan', 'heat']"
述べて作らず,jp,,[]
上り一日、下り一時,jp,,"['Uphill', 'Day', 'downhill', 'Time']"
上り坂あれば下り坂あり,jp,,"['downhill', 'can be']"
鑿と言えば槌,jp,,"['chisel', 'Mallet']"
蚤の息も天に上がる,jp,,"['flea&#39;s', 'breath', 'Heaven']"
蚤の小便、蚊の涙,jp,,"['flea&#39;s', 'urine', 'Mosquito&#39;s', 'tears']"
蚤の夫婦,jp,,"['husband', 'wife']"
飲む、打つ、買う,jp,,[]
飲む者は飲んで通る,jp,,['person']
乗りかかった船,jp,,['ship']
矩を踰える,jp,,['square']
