idiom,lang,meaning
灯台下暗し,jp,
尊い寺は門から,jp,
尊い寺は門から見ゆる,jp,
東道,jp,
東道の主,jp,
問うに落ちずに語るに落ちる,jp,
問うは一旦の恥、問わぬは末代の恥,jp,
塔は下から組め,jp,
掉尾を飾る,jp,
豆腐で歯を痛める,jp,
豆腐に鎹,jp,
唐変木,jp,
灯明で尻を焙る,jp,
灯滅せんとして光を増す,jp,
陶冶,jp,
桃李もの言わざれども下自ずから蹊を成す,jp,
登竜門,jp,
蟷螂が斧を以て隆車に向かう,jp,
蟷螂の斧,jp,
当を得る,jp,
遠い親戚より近くの他人,jp,
十日の菊、六日の菖蒲,jp,
遠き慮りなき者は必ず近き憂いあり,jp,
遠きに行くは必ず近きよりす,jp,
遠きは花の香,jp,
遠きを知りて近きを知らず,jp,
遠くて近いは男女の仲,jp,
遠くて近きは男女の仲,jp,
遠くなれば薄くなる,jp,
遠くの火事、背中の灸,jp,
遠くの親類より近くの他人,jp,
遠ざかるほど思いが募る,jp,
十で神童、十五で才子、二十過ぎれば只の人,jp,
十のことは十に言え,jp,
遠火で手を焙る,jp,
遠道は近道,jp,
遠目、山越し、笠の内,jp,
通りがいい,jp,
とかく浮世は色と酒,jp,
とかく近所に事なかれ,jp,
とかげの尻尾切り,jp,
蜥蜴の尻尾切り,jp,
研がずに鍛冶を恨むな,jp,
時に遇う,jp,
時に遇えば鼠も虎になる,jp,
時に臨む,jp,
時の氏神,jp,
時の花を挿頭にせよ,jp,
時の用には鼻を削げ,jp,
時は得難くして失い易し,jp,
時は金なり,jp,
時は人を待たず,jp,
時を争う,jp,
時を失う,jp,
時を移さず,jp,
時を得た一針は九針の手間を省く,jp,
時を得る,jp,
時を稼ぐ,jp,
鬨を作る,jp,
時を待つ,jp,
徳孤ならず必ず隣あり,jp,
得心が行く,jp,
徳俵に足がかかる,jp,
徳は孤ならず必ず隣あり,jp,
禿筆を呵す,jp,
得を取るより名を取れ,jp,
徳を以て怨みに報ゆ,jp,
とぐろを巻く,jp,
塒を巻く,jp,
床に就く,jp,
床に臥す,jp,
床の間の置き物,jp,
所変われば品変わる,jp,
所嫌わず,jp,
所で吠えぬ犬はない,jp,
所の神様ありがたからず,jp,
所の法には矢は立たぬ,jp,
所を得る,jp,
床を上げる,jp,
床を取る,jp,
床を払う,jp,
鶏冠に来る,jp,
年が改まる,jp,
年が行く,jp,
年甲斐もない,jp,
年が薬,jp,
歳寒くして松柏の凋むに後るるを知る,jp,
年問わんより世を問え,jp,
年には勝てない,jp,
年は争えない,jp,
年端も行かぬ,jp,
年は寄れども心は寄らぬ,jp,
斗酒なお辞せず,jp,
屠所の羊,jp,
年寄りて達者なものは口ばかり,jp,
年寄りと釘頭は引っ込むが良し,jp,
年寄りの言うことと牛の鞦は外れない,jp,
年寄りの達者、春の雪,jp,
年寄りの冷や水,jp,
年寄りの昔話,jp,
年寄りの物忘れ、若者の無分別,jp,
年寄りは家の宝,jp,
年寄りは二度目の子供,jp,
年寄れば愚に帰る,jp,
年を追う,jp,
年を食う,jp,
塗炭の苦しみ,jp,
取っ替え引っ替え,jp,
取って付けたよう,jp,
突拍子もない,jp,
トップを切る,jp,
途轍もない,jp,
とてもじゃないが,jp,
迚もじゃないが,jp,
徒党を組む,jp,
とどのつまり,jp,
止めを刺す,jp,
隣の芝生は青い,jp,
隣の糂汰味噌,jp,
隣の疝気を頭痛に病む,jp,
隣の宝を数える,jp,
隣の花は赤い,jp,
隣の貧乏鴨の味,jp,
隣の餅も食ってみよ,jp,
隣は火事でも先ず一服,jp,
図南の翼,jp,
兎にも角にも,jp,
堵に安んず,jp,
鳶が孔雀を生む,jp,
鳶が鷹を生む,jp,
鳶に油揚げを攫われる,jp,
鳶の子は鷹にならず,jp,
鳶も居ずまいから鷹に見える,jp,
飛ぶ鳥、跡を濁さず,jp,
飛ぶ鳥の献立,jp,
飛ぶ鳥懐に入る時は狩人も助く,jp,
飛ぶ鳥を落とす,jp,
飛ぶ鳥を落とす勢い,jp,
跳ぶ前に見よ,jp,
途方に暮れる,jp,
途方もない,jp,
富は一生の宝、知は万代の宝,jp,
とめてとまらぬ恋の道,jp,
止め処が無い,jp,
止め処無い,jp,
朋あり遠方より来る,jp,
友と酒は古いほどいい,jp,
倶に天を戴かず,jp,
取らずの大関,jp,
虎に翼,jp,
虎になる,jp,
捕らぬ狸の皮算用,jp,
虎の威を藉る狐,jp,
虎の威を借る狐,jp,
虎の尾を踏む,jp,
虎の子,jp,
虎の子渡し,jp,
虎の巻,jp,
虎は死して皮を留め、人は死して名を残す,jp,
虎は千里行って千里帰る,jp,
虎は千里往って千里還る,jp,
虎は千里の藪に栖む,jp,
虎を描いて狗に類す,jp,
虎を描いて猫に類す,jp,
虎を画きて狗に類す,jp,
虎を野に放つ,jp,
鳥疲れて枝を選ばず,jp,
取り付く島がない,jp,
とりつく島もない,jp,
取り付く島もない,jp,
取り留めがない,jp,
取り止めがない,jp,
鳥なき里の蝙蝠,jp,
鳥の将に死なんとする、その鳴くや哀し,jp,
鳥肌が立つ,jp,
取りも直さず,jp,
屠竜の技,jp,
取るに足らない,jp,
取るに足りない,jp,
取る物も取り敢えず,jp,
取るより庇え,jp,
取ろう取ろうで取られる,jp,
豚児,jp,
飛んで火に入る夏の虫,jp,
鳶が孔雀を生む,jp,
鳶が鷹を生む,jp,
鳶に油揚げを攫われる,jp,
ないが意見の総じまい,jp,
ないが極楽、知らぬが仏,jp,
ない子では泣かれぬ,jp,
内助の功,jp,
無い袖は振れない,jp,
無い袖は振れぬ,jp,
無い知恵を絞る,jp,
泣いて暮らすも一生、笑って暮らすも一生,jp,
泣いて馬謖を斬る,jp,
泣いても笑っても,jp,
ない時の辛抱、ある時の倹約,jp,
ない名は呼ばれず,jp,
ない物食おう,jp,
無い物ねだり,jp,
直き木に曲がる枝,jp,
鳴かず飛ばず,jp,
仲に立つ,jp,
中に立つ,jp,
仲に入る,jp,
中に入る,jp,
鳴かぬなら鳴くまで待とう時鳥,jp,
鳴かぬ蛍が身を焦がす,jp,
仲を裂く,jp,
仲を取り持つ,jp,
長い浮き世に短い命,jp,
長生きは恥多し,jp,
長居は恐れ,jp,
長居は無用,jp,
長い目で見る,jp,
長い物には巻かれろ,jp,
名が売れる,jp,
長追いは無益,jp,
長口上は欠伸の種,jp,
長崎ばってん、江戸べらぼう、神戸兵庫のなんぞいや,jp,
流し目を送る,jp,
長尻,jp,
名が高い,jp,
名が立つ,jp,
長っ尻,jp,
名が通る,jp,
名が泣く,jp,
流れに棹さす,jp,
流れに棹差す,jp,
流れに枕し石に漱ぐ,jp,
流れる水は腐らず,jp,
流れを汲みて源を知る,jp,
流れを汲む,jp,
亡き数に入る,jp,
亡き数に入る,jp,
泣き出しそう,jp,
泣き出しそうな,jp,
泣き出しそうな空模様,jp,
泣きっ面に蜂,jp,
泣きっ面を蜂が刺す,jp,
泣き面に蜂,jp,
無きにしも非ず,jp,
泣きの涙,jp,
泣きの涙で,jp,
泣きべそをかく,jp,
泣き目を見る,jp,
亡き者にする,jp,
無き者にする,jp,
泣きを入れる,jp,
泣きを見せる,jp,
泣きを見る,jp,
泣く口は物食う,jp,
泣く子と地頭には勝てぬ,jp,
泣く子に乳,jp,
泣く子は育つ,jp,
泣く子も黙る,jp,
無くて七癖,jp,
無くて七癖、有って四十八癖,jp,
泣く泣くもよい方を取る形見分け,jp,
泣くに泣けない,jp,
鳴く猫は鼠を捕らぬ,jp,
泣くほど留めても帰れば喜ぶ,jp,
鳴くまで待とう時鳥,jp,
鳴く虫は捕らえられる,jp,
なけなしの無駄遣い,jp,
仲人口は半分に聞け,jp,
仲人は宵のうち,jp,
仲人は宵の口,jp,
仲人は宵の程,jp,
情けが仇,jp,
情けに刃向かう刃なし,jp,
情けは質に置かれず,jp,
情けは人の為ならず,jp,
情け容赦もない,jp,
情け容赦もなく,jp,
情けを掛ける,jp,
情けを知る,jp,
生さぬ仲,jp,
梨の礫,jp,
茄子の花と親の意見は千に一つも無駄はない,jp,
為すようにならないで、なるようになる,jp,
為せば成る,jp,
謎を掛ける,jp,
鉈を貸して山を伐られる,jp,
鉈を振るう,jp,
名高の骨高,jp,
雪崩を打つ,jp,
納所から和尚,jp,
夏歌うものは冬泣く,jp,
夏の風邪は犬も食わぬ,jp,
夏の小袖,jp,
夏の虫、氷を笑う,jp,
夏は日向を行け、冬は日陰を行け,jp,
七重の膝を八重に折る,jp,
七転び八起き,jp,
七下がり七上がり,jp,
七度尋ねて人を疑え,jp,
七つ下がりの雨と四十過ぎての道楽はやまぬ,jp,
七つ道具,jp,
七つ七里憎まれる,jp,
七尋の島に八尋の船を隠す,jp,
斜めならず,jp,
何かと言うと,jp,
何かと言えば,jp,
何かにつけ,jp,
何かにつけて,jp,
何から何まで,jp,
某より金貸し,jp,
何が何でも,jp,
何くれとなく,jp,
何食わぬ顔,jp,
何事も三度,jp,
名にし負う,jp,
何するものぞ,jp,
名に背く,jp,
何はさておき,jp,
名に恥じない,jp,
何はともあれ,jp,
何はなくとも,jp,
何分にも,jp,
何もせずにいることは悪を為していることなり,jp,
何や彼や,jp,
難波の葦は伊勢の浜荻,jp,
何をか言わんや,jp,
何を隠そう,jp,
七日通る漆も手に取らねばかぶれぬ,jp,
名主の跡は芋畑,jp,
名のない星は宵から出る,jp,
斜めならず,jp,
名乗りを上げる,jp,
名告を上げる,jp,
名は実の賓,jp,
名は体を表す,jp,
鍋の鋳掛けが釣り鐘を請け合ったよう,jp,
ナポリを見てから死ね,jp,
生木を裂く,jp,
怠け者の節句働き,jp,
生唾を飲み込む,jp,
生の声,jp,
生兵法は大疵の基,jp,
生兵法は大怪我の基,jp,
生身を削る,jp,
生酔い、本性違わず,jp,
訛は国の手形,jp,
波風が絶えない,jp,
波風が立つ,jp,
涙に暮れる,jp,
涙に沈む,jp,
涙に咽ぶ,jp,
涙を誘う,jp,
涙を呑む,jp,
涙を吞む,jp,
涙を振るう,jp,
涙を振るって,jp,
涙を揮って馬謖を斬る,jp,
波に千鳥,jp,
波に乗る,jp,
蛞蝓に塩,jp,
嘗めてかかる,jp,
名も無い,jp,
習い、性と成る,jp,
習い性となる,jp,
習うは一生,jp,
習うより慣れよ,jp,
習うより慣れろ,jp,
奈落の底,jp,
成らずば誹れ,jp,
成らぬうちが頼み,jp,
ならぬ堪忍、するが堪忍,jp,
並ぶ者がない,jp,
習わぬ経は読めぬ,jp,
鳴り物入り,jp,
生業は草の種,jp,
鳴りを静める,jp,
鳴りを潜める,jp,
生る木は花から違う,jp,
成るは厭なり、思うは成らず,jp,
成るも成らぬも金次第,jp,
成れの果て,jp,
縄に掛かる,jp,
縄目に掛かる,jp,
縄目の恥,jp,
縄目の恥を受ける,jp,
縄を打つ,jp,
名を上げる,jp,
名を揚げる,jp,
名を著す,jp,
名を売る,jp,
名を得る,jp,
名を惜しむ,jp,
名を折る,jp,
名を借りる,jp,
名を腐す,jp,
名を汚す,jp,
名を捨てて実を取る,jp,
名を竹帛に垂る,jp,
名を連ねる,jp,
名を遂げる,jp,
名を留める,jp,
名を取る,jp,
名を取るより得を取れ,jp,
名を成す,jp,
名を残す,jp,
名を辱める,jp,
名を馳せる,jp,
名を広める,jp,
南柯の夢,jp,
難癖を付ける,jp,
難産、色に懲りず,jp,
南山の寿,jp,
難色を示す,jp,
汝自身を知れ,jp,
爾に出ずるものは爾に返る,jp,
汝の敵を愛せよ,jp,
汝の隣人を愛せよ,jp,
何でも来い,jp,
何でも来いに名人なし,jp,
何としても,jp,
なんなら茶漬け,jp,
何の気なしに,jp,
何の事は無い,jp,
何のその,jp,
なんの糸瓜の皮,jp,
南風競わず,jp,
難を付ける,jp,
似合い似合いの釜の蓋,jp,
似合わぬ僧の腕立て,jp,
煮え切らない,jp,
煮え湯を飲まされる,jp,
匂い松茸、味しめじ,jp,
仁王立ち,jp,
二王立ち,jp,
鳰の浮き巣,jp,
二階から目薬,jp,
荷が重い,jp,
荷が下りる,jp,
荷が勝つ,jp,
逃がした魚は大きい,jp,
二月は逃げて走る,jp,
苦虫を噛み潰したよう,jp,
握れば拳、開けば掌,jp,
憎い憎いはかわいいの裏,jp,
肉が落ちる,jp,
憎さも憎し,jp,
肉付けをする,jp,
憎まれ口をきく,jp,
憎まれ口を叩く,jp,
憎まれっ子、世に憚る,jp,
肉を斬らせて骨を斬る,jp,
肉を付ける,jp,
逃ぐるが一の手,jp,
逃げ腰になる,jp,
逃げも隠れもしない,jp,
逃げるが勝ち,jp,
逃げを打つ,jp,
逃げを張る,jp,
西風と夫婦喧嘩は夕限り,jp,
西から日が出る,jp,
錦着ての奉公より襤褸着ての我が世,jp,
錦の袋に糞を包む,jp,
錦の御旗,jp,
錦は雑巾にならぬ,jp,
錦を飾る,jp,
錦を衣て夜行くが如し,jp,
西と言えば東と言う,jp,
西と言ったら東と悟れ,jp,
西の海へさらり,jp,
西も東も分からない,jp,
二豎,jp,
二十五菩薩もそれぞれの役,jp,
二世の契り,jp,
二世の契りを結ぶ,jp,
二世を契る,jp,
二足の草鞋を履く,jp,
二鼠藤を嚙む,jp,
似たものは烏,jp,
似た者夫婦,jp,
似たり寄ったり,jp,
日日是好日,jp,
日計足らずして歳計余りあり,jp,
日光を見ずして結構と言うな,jp,
二進も三進も行かない,jp,
二八の涙月,jp,
煮て食おうと焼いて食おうと,jp,
似て非なり,jp,
似て非なる,jp,
似て非なるもの,jp,
似てもつかない,jp,
似ても似つかない,jp,
似ても似つかぬ,jp,
煮ても焼いても食えない,jp,
煮ても焼いても食えぬ,jp,
二兎を追う者は一兎をも得ず,jp,
二度あることは三度ある,jp,
二度教えて一度叱れ,jp,
二度聞いて一度物言え,jp,
二度目の見直し三度目の正直,jp,
担えば棒が折れる,jp,
二人口は過ごせるが一人口は過ごせぬ,jp,
二の足を踏む,jp,
二の句が継げない,jp,
二の次にする,jp,
二の舞,jp,
二の舞を演じる,jp,
二の矢が継げない,jp,
二の矢が継げぬ,jp,
二八余りは人の瀬越し,jp,
二八月は船頭のあぐみ時,jp,
二番煎じ,jp,
二百二十日の荒れ仕舞,jp,
鰾膠もない,jp,
にべもない,jp,
二枚舌を使う,jp,
似もつかぬ,jp,
入木道,jp,
女房、鉄砲、仏法,jp,
女房と畳は新しいほうがよい,jp,
女房と味噌は古いほどよい,jp,
女房に惚れてお家繁盛,jp,
女房の妬くほど亭主もてもせず,jp,
女房の悪いは六十年の不作,jp,
女房は貸すとも擂り粉木は貸すな,jp,
女房は灰小屋から貰え,jp,
女房は半身上,jp,
女房は山の神百国の位,jp,
女房百日、馬二十日,jp,
睨みが利く,jp,
睨みを利かせる,jp,
似るを友,jp,
俄雨と女の腕捲り,jp,
鶏を割くに焉んぞ牛刀を用いん,jp,
荷を下ろす,jp,
任重くして道遠し,jp,
人間至る処、青山あり,jp,
人間一生二万日,jp,
人間は考える葦である,jp,
人間は万物の尺度,jp,
人間は実が入れば仰向く、菩薩は実が入れば俯く,jp,
人間万事金の世の中,jp,
人間万事塞翁が馬,jp,
人間僅か五十年,jp,
人参飲んで首縊る,jp,
人相見の我が身知らず,jp,
忍の一字は衆妙の門,jp,
人を見て法を説け,jp,
糠に釘,jp,
抜かぬ太刀の高名,jp,
糠味噌が腐る,jp,
糠喜び,jp,
抜き足差し足,jp,
抜き足差し足忍び足,jp,
抜き足して来るひとに碌な者なし,jp,
抜き足すれば道付く,jp,
抜き差しならない,jp,
抜きつ抜かれつ,jp,
抜け駆けの功名,jp,
抜け目がない,jp,
抜けるよう,jp,
盗人猛猛しい,jp,
盗人猛々しい,jp,
盗人が盗人に盗まれる,jp,
盗人と言えば手を出す,jp,
盗人に追い銭,jp,
盗人に鍵を預ける,jp,
盗人にも三分の理,jp,
盗人にも仁義,jp,
盗人の上米を取る,jp,
盗人の逆恨み,jp,
盗人の提灯持ち,jp,
盗人の取り残しはあれど火の取り残しはなし,jp,
盗人の寝言,jp,
盗人の隙はあれど守り手の隙はなし,jp,
盗人の昼寝,jp,
盗人も戸締り,jp,
盗人を捕らえて縄を綯う,jp,
盗人を捕らえて見れば我が子なり,jp,
盗人を見て縄を綯う,jp,
盗みする子は憎からで縄掛くる人が恨めしい,jp,
塗り箸で芋を盛る,jp,
塗り箸で素麺を食う,jp,
ぬるま湯に浸かる,jp,
濡れ紙を剝がすよう,jp,
濡れ衣を着せられる,jp,
濡れ衣を着せる,jp,
濡れ衣を着る,jp,
濡れ手で粟,jp,
濡れぬ先こそ露をも厭え,jp,
濡れぬ先の傘,jp,
根浅ければ則ち末短く、本傷るれば則ち枝枯る,jp,
寝息を窺う,jp,
寧日がない,jp,
願うに幸い,jp,
寝返りを打つ,jp,
願ったり叶ったり,jp,
願ってもない,jp,
根がなくても花は咲く,jp,
根が生えたよう,jp,
根が生える,jp,
値が張る,jp,
根が深い,jp,
寝首を掻く,jp,
寝首を搔く,jp,
猫被り,jp,
猫が肥えれば鰹節が痩せる,jp,
猫が糞を踏む,jp,
猫でない証拠に竹を描いておき,jp,
猫に鰹節,jp,
猫に小判,jp,
猫に木天蓼,jp,
猫にもなれば虎にもなる,jp,
猫の魚辞退,jp,
猫の首に鈴,jp,
猫の首に鈴をつける,jp,
猫の子一匹いない,jp,
猫の手も借りたい,jp,
猫の額,jp,
猫の額にある物を鼠が窺う,jp,
猫の前の鼠,jp,
猫の目のよう,jp,
猫は三年の恩を三日で忘れる,jp,
猫は虎の心を知らず,jp,
猫糞,jp,
猫も杓子も,jp,
猫も跨いで通る,jp,
猫を追うより皿を引け,jp,
猫を被る,jp,
猫を殺せば七代祟る,jp,
寝覚めが悪い,jp,
螺子が緩む,jp,
螺子が弛む,jp,
螺子を巻く,jp,
鼠壁を忘る壁鼠を忘れず,jp,
鼠が塩を引く,jp,
鼠捕る猫は爪を隠す,jp,
ねたが上がる,jp,
ねたが挙がる,jp,
ねたが割れる,jp,
寝た子を起こす,jp,
寝刃を合わせる,jp,
寝た間は仏,jp,
根絶やしにする,jp,
熱気を帯びる,jp,
熱し易いものは冷め易い,jp,
熱し易きは冷め易し,jp,
熱しやすく冷めやすい,jp,
熱が冷める,jp,
熱が無い,jp,
熱が入る,jp,
熱が引く,jp,
熱に浮かされる,jp,
熱を上げる,jp,
熱を入れる,jp,
熱を執りて濯わず,jp,
熱を吐く,jp,
熱を吹く,jp,
寝ていて転んだ例なし,jp,
寝ていて人を起こすな,jp,
寝ても覚めても,jp,
寝鳥を刺す,jp,
寝鳥を刺す,jp,
子に臥し寅に起きる,jp,
根に持つ,jp,
根葉に持つ,jp,
根太は敵に押させよ,jp,
根掘り葉掘り,jp,
根回しをする,jp,
寝耳に水,jp,
眠い煙い寒い,jp,
眠れる獅子,jp,
根も葉もない,jp,
狙いを定める,jp,
狙いをつける,jp,
寝る子は賢い親助け,jp,
寝る子は育つ,jp,
寝るほど楽はない,jp,
寝る間が極楽,jp,
音を上げる,jp,
根を下ろす,jp,
根を断ちて葉を枯らす,jp,
根を断つ,jp,
根を絶つ,jp,
年貢の納め時,jp,
念者の不念,jp,
念頭に置く,jp,
念には念を入れよ,jp,
年年歳歳花相似たり、歳歳年年人同じからず,jp,
年々歳々花相似たり、歳々年々人同じからず,jp,
念力岩をも徹す,jp,
念を押す,jp,
能ある鷹は爪を隠す,jp,
能書きの読めぬ所に効き目あり,jp,
能書きを垂れる,jp,
能書きを並べる,jp,
能書筆を択ばず,jp,
能事畢る,jp,
嚢中の錐,jp,
嚢中の物を探るが如し,jp,
能なし犬は昼吠える,jp,
能なしの口叩き,jp,
農は人真似,jp,
脳味噌を絞る,jp,
脳裏に焼き付く,jp,
軒を争う,jp,
軒を貸して母屋を取られる,jp,
軒を連ねる,jp,
軒を並べる,jp,
除けて通せ酒の酔い,jp,
のけば他人,jp,
退けば長者が二人,jp,
残り物には福がある,jp,
熨斗を付ける,jp,
後の親が親,jp,
退っ引きならない,jp,
喉から手が出る,jp,
喉元過ぎれば熱さを忘れる,jp,
述べて作らず,jp,
上り一日、下り一時,jp,
上り坂あれば下り坂あり,jp,
鑿と言えば槌,jp,
蚤の息も天に上がる,jp,
蚤の小便、蚊の涙,jp,
蚤の夫婦,jp,
飲む、打つ、買う,jp,
飲む者は飲んで通る,jp,
乗りかかった船,jp,
矩を踰える,jp,
のるかそるか,jp,
暖簾に腕押し,jp,
暖簾に傷がつく,jp,
暖簾を下ろす,jp,
暖簾を分ける,jp,
肺肝を砕く,jp,
敗軍の将は兵を語らず,jp,
背水の陣,jp,
吐いた唾は呑めぬ,jp,
吐いた唾を呑む,jp,
杯中の蛇影,jp,
はいに科なし,jp,
灰吹きから蛇が出る,jp,
肺腑を抉る,jp,
這えば立て、立てば歩めの親心,jp,
破瓜,jp,
破瓜の年,jp,
測り難きは人心,jp,
謀は密なるを貴ぶ,jp,
謀は密なるを良しとす,jp,
籌を帷幄に運らし、勝ちを千里の外に決す,jp,
歯が立たない,jp,
掃き溜めと金持ちは溜まるほど汚い,jp,
掃き溜めに鶴,jp,
破鏡再び照らさず,jp,
歯切れがいい,jp,
伯牙、琴を破る,jp,
箔が付く,jp,
白眼視,jp,
白玉楼中の人となる,jp,
白紙で臨む,jp,
拍車をかける,jp,
白寿,jp,
白刃踏むべし,jp,
伯仲の間,jp,
白髪三千丈,jp,
白馬馬に非ず,jp,
白馬は馬に非ず,jp,
薄氷を履むが如し,jp,
白眉,jp,
白璧の微瑕,jp,
白面の書生,jp,
伯楽,jp,
伯楽の一顧,jp,
箱根からこっちに野暮と化け物はなし,jp,
箱根知らずの江戸話,jp,
歯応えがある,jp,
梯子を外される,jp,
箸で含める,jp,
箸に当たり棒に当たる,jp,
箸にも棒にも掛からない,jp,
箸の転んだもおかしい,jp,
箸より重い物を持ったことがない,jp,
走り馬にも鞭,jp,
走れば躓く,jp,
恥と頭は搔き次第,jp,
恥の上塗り,jp,
恥は家の病,jp,
始まらない,jp,
始めあるものは必ず終わりあり,jp,
始めが大事,jp,
始めちょろちょろ、中ぱっぱ、赤子泣くとも蓋取るな,jp,
始めの勝ちは糞勝ち,jp,
始めの囁き後のどよみ,jp,
始めは処女の如く後は脱兎の如し,jp,
始め半分,jp,
始めよければ終りよし,jp,
始めを言わねば末が聞こえぬ,jp,
恥を言わねば理が聞こえぬ,jp,
恥を知らねば恥搔かず,jp,
恥を雪ぐ,jp,
恥を雪ぐ,jp,
弾みを食う,jp,
旗色が悪い,jp,
畑水練,jp,
畑に蛤,jp,
旗印にする,jp,
二十過ぎての意見と彼岸過ぎての肥はきかぬ,jp,
働かざる者食うべからず,jp,
旗を揚げる,jp,
旗を掲げる,jp,
旗を巻く,jp,
肌に粟を生ず,jp,
裸一貫,jp,
裸馬の捨て鞭,jp,
裸で道中はならぬ,jp,
裸で物を落とした例なし,jp,
裸百貫,jp,
肌が合う,jp,
肌で感じる,jp,
肌身離さず,jp,
肌を許す,jp,
破竹の勢い,jp,
八細工、七貧乏,jp,
八十の手習い,jp,
八十八夜の別れ霜,jp,
八の字を寄せる,jp,
蜂の巣をつついたよう,jp,
八分されてもまだ二分残る,jp,
八分は足らず十分は零れる,jp,
白駒の隙を過ぐるが如し,jp,
白虹日を貫く,jp,
八歳の翁、百歳の童,jp,
這っても黒豆,jp,
八方塞がり,jp,
八方破れ,jp,
初物七十五日,jp,
破天荒,jp,
鳩が豆鉄砲を食ったよう,jp,
鳩に三枝の礼あり、烏に反哺の孝あり,jp,
鳩を憎み豆を作らぬ,jp,
鼻息が荒い,jp,
鼻息を窺う,jp,
花一時、人一盛り,jp,
花多ければ実少なし,jp,
端から和尚はない,jp,
鼻が胡坐をかく,jp,
鼻が利く,jp,
鼻が高い,jp,
鼻が曲がる,jp,
鼻糞が目糞を笑う,jp,
鼻糞丸めて万金丹,jp,
鼻薬を嗅がせる,jp,
鼻毛を数える,jp,
鼻毛を抜く,jp,
鼻毛を伸ばす,jp,
鼻毛を読まれる,jp,
鼻毛を読む,jp,
鼻声を出す,jp,
話が合う,jp,
話が違う,jp,
話が弾む,jp,
話が早い,jp,
話が分かる,jp,
話上手の聞き下手,jp,
話上手は聞き上手,jp,
話にならない,jp,
話に乗る,jp,
話に花が咲く,jp,
話の腰を折る,jp,
話は下で果てる,jp,
話半分,jp,
話を詰める,jp,
鼻筋が通る,jp,
鼻血も出ない,jp,
鼻っ柱が強い,jp,
花七日,jp,
花に嵐,jp,
鼻に反りを打つ,jp,
鼻に付く,jp,
花盗人は風流のうち,jp,
鼻の下が長い,jp,
花の下より鼻の下,jp,
鼻の下を長くする,jp,
花の下の半日の客、月の前の一夜の友,jp,
花は折りたし梢は高し,jp,
花は桜木、人は武士,jp,
花は根に鳥は古巣に,jp,
花道を飾る,jp,
花も折らず実も取らず,jp,
花も実もある,jp,
花より団子,jp,
鼻を明かす,jp,
鼻を折る,jp,
花を咲かせる,jp,
花を添える,jp,
鼻を高くする,jp,
鼻を鳴らす,jp,
花を持たせる,jp,
歯に衣着せぬ,jp,
羽を伸ばす,jp,
歯の抜けたよう,jp,
歯の根が合わない,jp,
母在りて一子寒く、母去りて三子寒し,jp,
幅を利かせる,jp,
幅を持たせる,jp,
歯亡びて舌存す,jp,
浜の真砂,jp,
羽目を外す,jp,
早いのが一の芸,jp,
早い話が,jp,
早い者勝ち,jp,
早い者に上手なし,jp,
早牛も淀、遅牛も淀,jp,
早起き三両、倹約五両,jp,
早起きは三文の徳,jp,
早かろう悪かろう,jp,
早合点の早忘れ,jp,
早く咲かば早く散る,jp,
早くて悪し大事なし、遅くて悪し猶悪し,jp,
早寝早起き、病知らず,jp,
早飯も芸の中,jp,
はやり目なら病み目でもいい,jp,
はやり物は廃り物,jp,
はやる芝居は外題から,jp,
腹が大きい,jp,
腹が黒い,jp,
腹が据わる,jp,
腹が立つ,jp,
腹が立つなら親を思い出せ,jp,
腹が減っては戦ができぬ,jp,
腹黒い,jp,
腹拵えをする,jp,
腹立てるより義理立てよ,jp,
腹鼓を打つ,jp,
腹に一物,jp,
腹に納める,jp,
腹に据えかねる,jp,
腹の皮が張れば目の皮がたるむ,jp,
腹の立つ事は明日言え,jp,
腹の立つように家蔵建たぬ,jp,
腹は借り物,jp,
腹は立て損、喧嘩は仕損,jp,
腹八分に医者要らず,jp,
腹八分目に医者要らず,jp,
腹も身のうち,jp,
腸が腐る,jp,
腸が見え透く,jp,
腹を痛める,jp,
腹を抱える,jp,
腹を拵える,jp,
腹を肥やす,jp,
腹を探る,jp,
腹を据える,jp,
腹を立てる,jp,
腹を見抜く,jp,
腹を読む,jp,
腹を割る,jp,
張子の虎,jp,
針で掘って鍬で埋める,jp,
針の穴から天を覗く,jp,
針の筵,jp,
針は呑まれず,jp,
針ほどのことを棒ほどに言う,jp,
針を含む,jp,
春の晩飯後三里,jp,
春の雪とおばの杖は怖くない,jp,
春は蛙が目を借りる,jp,
腫れ物に触るよう,jp,
覇を争う,jp,
葉を欠いて根を断つ,jp,
反旗を翻す,jp,
判子で押したよう,jp,
犯罪の陰に女あり,jp,
半畳を入れる,jp,
判で押したよう,jp,
反哺の孝,jp,
半面の識,jp,
範を仰ぐ,jp,
範を垂れる,jp,
日、西山に薄る,jp,
贔屓の引き倒し,jp,
贔屓目に見る,jp,
火打ち石据え石にならず,jp,
日陰の梨,jp,
日陰の豆も時が来ればはぜる,jp,
日方と手間取りは日のうち,jp,
光を和らげ塵に同ず,jp,
光るほど鳴らぬ,jp,
引かれ者の小唄,jp,
日が浅い,jp,
日が当たらない,jp,
火が消えたよう,jp,
非学者、論に負けず,jp,
東に近ければ西に遠い,jp,
東は東、西は西,jp,
干潟の鰯,jp,
日が西から出る,jp,
彼岸過ぎての麦の肥、三十過ぎての男に意見,jp,
引き合いに出す,jp,
引き金になる,jp,
蟇の息さえ天に昇る,jp,
引きも切らず,jp,
飛脚に三里の灸,jp,
